timestamp,name,cpu_perc,mem_usage,net_io
2026-06-13T01:20:45Z,kafka,104.34%,981.2MiB / 7.653GiB,2.02GB / 1.77GB
2026-06-13T01:20:45Z,kafka-storage,36.07%,106.4MiB / 7.653GiB,714MB / 276MB
2026-06-13T01:20:45Z,kafka-analytics,35.96%,146.4MiB / 7.653GiB,1.25GB / 642kB
2026-06-13T01:20:45Z,postgres-kafka,44.24%,181.7MiB / 7.653GiB,319MB / 3.42MB
2026-06-13T01:21:27Z,kafka,14.69%,1.068GiB / 7.653GiB,3.88GB / 3.89GB
2026-06-13T01:21:27Z,kafka-storage,34.69%,105.9MiB / 7.653GiB,1.49GB / 618MB
2026-06-13T01:21:27Z,kafka-analytics,46.07%,165.3MiB / 7.653GiB,2.6GB / 1.32MB
2026-06-13T01:21:27Z,postgres-kafka,40.03%,186.3MiB / 7.653GiB,650MB / 6.95MB
2026-06-13T01:22:11Z,kafka,13.18%,1.093GiB / 7.653GiB,5.35GB / 6.14GB
2026-06-13T01:22:11Z,kafka-storage,40.42%,110MiB / 7.653GiB,2.19GB / 909MB
2026-06-13T01:22:11Z,kafka-analytics,42.74%,159.8MiB / 7.653GiB,4.16GB / 2.26MB
2026-06-13T01:22:11Z,postgres-kafka,43.56%,197.8MiB / 7.653GiB,933MB / 9.94MB
2026-06-13T01:22:54Z,kafka,14.77%,1.1GiB / 7.653GiB,7.07GB / 8.46GB
2026-06-13T01:22:54Z,kafka-storage,39.86%,112.7MiB / 7.653GiB,2.94GB / 1.23GB
2026-06-13T01:22:54Z,kafka-analytics,46.67%,160.2MiB / 7.653GiB,5.74GB / 3.21MB
2026-06-13T01:22:54Z,postgres-kafka,46.59%,199.4MiB / 7.653GiB,1.24GB / 13.2MB
2026-06-13T01:23:38Z,kafka,15.67%,1.106GiB / 7.653GiB,8.83GB / 10.8GB
2026-06-13T01:23:38Z,kafka-storage,39.12%,112.9MiB / 7.653GiB,3.67GB / 1.55GB
2026-06-13T01:23:38Z,kafka-analytics,43.86%,161.5MiB / 7.653GiB,7.38GB / 4.21MB
2026-06-13T01:23:38Z,postgres-kafka,58.84%,198.6MiB / 7.653GiB,1.55GB / 16.5MB
2026-06-13T01:24:22Z,kafka,17.44%,1.114GiB / 7.653GiB,10.4GB / 13.1GB
2026-06-13T01:24:22Z,kafka-storage,34.97%,112.4MiB / 7.653GiB,4.37GB / 1.84GB
2026-06-13T01:24:22Z,kafka-analytics,33.23%,173.8MiB / 7.653GiB,8.98GB / 5.2MB
2026-06-13T01:24:22Z,postgres-kafka,40.93%,201MiB / 7.653GiB,1.84GB / 19.5MB
2026-06-13T01:25:05Z,kafka,41.04%,1.143GiB / 7.653GiB,12GB / 15.5GB
2026-06-13T01:25:05Z,kafka-storage,34.71%,111.9MiB / 7.653GiB,5.04GB / 2.13GB
2026-06-13T01:25:05Z,kafka-analytics,43.86%,216.1MiB / 7.653GiB,10.6GB / 6.2MB
2026-06-13T01:25:05Z,postgres-kafka,45.96%,202.7MiB / 7.653GiB,2.12GB / 22.5MB
2026-06-13T01:25:48Z,kafka,19.85%,1.151GiB / 7.653GiB,14.1GB / 17.9GB
2026-06-13T01:25:48Z,kafka-storage,37.64%,112.2MiB / 7.653GiB,5.77GB / 2.43GB
2026-06-13T01:25:48Z,kafka-analytics,31.91%,237.1MiB / 7.653GiB,12.3GB / 7.2MB
2026-06-13T01:25:48Z,postgres-kafka,45.70%,211.2MiB / 7.653GiB,2.42GB / 25.6MB
2026-06-13T01:26:30Z,kafka,15.30%,1.206GiB / 7.653GiB,16GB / 20.8GB
2026-06-13T01:26:30Z,kafka-storage,30.00%,112.7MiB / 7.653GiB,6.35GB / 2.69GB
2026-06-13T01:26:30Z,kafka-analytics,56.74%,280MiB / 7.653GiB,14.7GB / 8.6MB
2026-06-13T01:26:30Z,postgres-kafka,41.32%,197.4MiB / 7.653GiB,2.66GB / 28.2MB
